brand,color,condition,body_type,wheel_config,transmission,mileage,carfax_link,dealer_address,cylinders,vehicle_age,list_price
korean,Black,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,50,New_Car,other_GTA,4,1,36535.0
german,Black,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,199461,Available,Toronto,8,11,11995.0
american,Blue,Used,Coupe (2 door),Front-wheel drive (FWD),Automatic,204710,Available,Toronto,4,12,2699.95
american,Silver,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,168000,Available,Toronto,8,11,18995.0
japanese,White,Used,Sedan,Front-wheel drive (FWD),Automatic,42276,Available,other_GTA,4,3,18999.0
american,Silver,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,132294,None,Toronto,6,8,11988.0
japanese,Silver,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,78589,Available,Toronto,4,4,25995.0
japanese,Grey,Used,Sedan,Front-wheel drive (FWD),Automatic,82000,Available,Toronto,4,5,11950.0
japanese,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,94490,Available,other_GTA,4,5,16999.0
japanese,Black,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,169000,Available,Toronto,4,9,6999.0
japanese,other,New,"Minivan, Van",Front-wheel drive (FWD),Automatic,50,New_Car,other,4,1,31354.0
german,White,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,79273,Available,Toronto,4,5,18990.0
american,other,Used,Sedan,Front-wheel drive (FWD),Automatic,33716,Available,Toronto,4,2,16988.0
japanese,Black,Used,Hatchback,Unknown,Automatic,90713,Available,Toronto,4,7,11350.0
american,Grey,Used,Sedan,Front-wheel drive (FWD),Automatic,109000,Available,Toronto,4,4,12950.0
japanese,White,Used,Sedan,Front-wheel drive (FWD),Automatic,99652,None,Toronto,4,6,13995.0
japanese,Silver,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,121000,Available,Toronto,4,6,16450.0
german,Red,Used,Sedan,Front-wheel drive (FWD),Automatic,68518,Available,Toronto,4,5,13750.0
japanese,Silver,Used,Pickup Truck,Unknown,Automatic,72560,Available,other,6,4,33595.0
italian,Silver,Used,Sedan,Rear-wheel drive (RWD),Automatic,94789,Available,Toronto,4,11,29800.0
japanese,White,New,"SUV, Crossover",Front-wheel drive (FWD),Automatic,50,New_Car,other,4,1,33411.0
german,White,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,116000,None,Toronto,6,6,23950.0
german,Silver,Used,Sedan,All-wheel drive (AWD),Automatic,126616,Available,Toronto,6,5,29800.0
german,Blue,Used,Sedan,Rear-wheel drive (RWD),Automatic,94450,None,other_GTA,8,7,40000.0
american,Red,New,"Minivan, Van",Front-wheel drive (FWD),Automatic,50,New_Car,other,6,1,34735.0
american,Blue,Used,Coupe (2 door),Rear-wheel drive (RWD),Manual,60000,Available,Toronto,8,3,21999.0
german,Silver,Used,Sedan,All-wheel drive (AWD),Automatic,200192,Available,Toronto,4,12,12888.0
british,Grey,Used,Sedan,Rear-wheel drive (RWD),Automatic,160000,Available,other_GTA,8,11,10500.0
japanese,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,79000,Available,Toronto,4,5,14980.0
japanese,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,95848,Available,Toronto,4,5,17000.0
german,White,Used,Sedan,All-wheel drive (AWD),Automatic,77290,None,Toronto,4,5,22990.0
japanese,Grey,Used,Sedan,Front-wheel drive (FWD),Manual,265000,Available,Toronto,4,16,899.99
japanese,other,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,230000,None,Toronto,6,13,6800.0
japanese,Red,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,51725,Available,other,4,4,17999.0
german,Red,Used,Sedan,Front-wheel drive (FWD),Automatic,61000,Available,Toronto,4,7,11999.0
japanese,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,100000,Available,Toronto,4,4,24950.0
american,Silver,Used,Sedan,Front-wheel drive (FWD),Automatic,79000,Available,Toronto,4,6,10450.0
american,White,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,28429,Available,other_GTA,8,3,24495.0
german,White,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,103654,Available,Toronto,6,9,29800.0
japanese,White,Used,Sedan,All-wheel drive (AWD),Manual,15000,None,Toronto,4,2,39000.0
german,White,Used,Sedan,Front-wheel drive (FWD),Automatic,82120,None,Toronto,4,5,12900.0
german,Black,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,94000,Available,Toronto,6,5,33899.0
japanese,Blue,Used,Sedan,Front-wheel drive (FWD),Automatic,126000,Available,Toronto,4,10,4900.0
american,White,Used,"SUV, Crossover",4 x 4,Automatic,200000,None,Toronto,4,10,3000.0
german,other,Used,Sedan,Front-wheel drive (FWD),Automatic,73938,Available,Toronto,4,5,16990.0
german,Blue,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,42327,Available,Toronto,6,5,30999.0
german,White,Used,Sedan,Front-wheel drive (FWD),Automatic,39818,Available,Toronto,4,5,17990.0
american,Blue,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,197000,Available,Toronto,6,14,2999.0
korean,other,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,50,New_Car,other,4,2,50828.0
american,White,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,160486,None,other,6,7,12990.0
japanese,Blue,Used,Sedan,Unknown,Automatic,12847,Available,other,4,2,20921.0
german,Black,Used,Wagon,All-wheel drive (AWD),Automatic,97381,Available,Toronto,6,6,28480.0
japanese,Black,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,106000,Available,Toronto,6,3,29950.0
