,brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
661,BMW,X6,2022,"$97,229 ",Black,XDrive40i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
662,BMW,X3,2022,"$67,134 ",White,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
663,Other,Other,2021,"$27,997 ",Other,na,New,Other,Other,na,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
664,BMW,X7,2022,"$128,594 ",Blue,XDrive 40i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
665,BMW,3-Series,2022,"$56,729 ",White,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
666,BMW,3-Series,2022,"$55,254 ",White,XDrive Sedan (5R79),New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
667,BMW,X3,2022,"$64,804 ",White,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
668,BMW,X3,2022,"$66,449 ",Black,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
669,BMW,3-Series,2022,"$61,174 ",Grey,XDrive Sedan (5R79),New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
670,BMW,X7,2022,"$132,394 ",Black,XDrive 40i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
671,BMW,5-Series,2022,"$73,194 ",Black,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
672,BMW,3-Series,2022,"$62,874 ",Black,XDrive Sedan (5R79),New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
673,BMW,X1,2022,"$53,479 ",Grey,XDrive28i M Sport Edition,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
674,BMW,3-Series,2022,"$61,829 ",White,XDrive Sedan (5R79),New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
675,BMW,X1,2022,"$51,949 ",White,XDrive28i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
676,BMW,X3,2022,"$65,449 ",Grey,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
677,na,na,na,na,na,na,na,na,na,na,na,na,na,na
678,na,na,na,na,na,na,na,na,na,na,na,na,na,na
679,na,na,na,na,na,na,na,na,na,na,na,na,na,na
680,na,na,na,na,na,na,na,na,na,na,na,na,na,na
681,na,na,na,na,na,na,na,na,na,na,na,na,na,na
682,na,na,na,na,na,na,na,na,na,na,na,na,na,na
683,Porsche,Macan,2019,"$66,800 ",Blue,"AWD, SPORT CHRONO, KEYLESS ENTRY , BOSE",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"20,255",https://www.carproof.com/order?ref=kijiji&vin=WP1AA2A53KLB03369,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
684,Toyota,Corolla,2016,"$15,998 ",Black,CE,Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"131,540",https://www.carproof.com/order?ref=kijiji&vin=2T1BURHEXGC669927,"2333 Barton Street East, Hamilton, ON, L8E 2W8"
685,Mercedes-Benz,CLA,2016,"$39,800 ",Black,"AMG CLA45, 375HP, PANO, NAV, ACTIVE PARK",Used,Sedan,All-wheel drive (AWD),Automatic,Other,"64,372",https://www.carproof.com/order?ref=kijiji&vin=WDDSJ5CB8GN332898,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
686,Mercedes-Benz,GLE,2020,"$79,995 ",Grey,GLE450|4MATIC|AMGPKG|HUD|NAV|BURMESTER|360CAM|LED|,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"43,313",na,"100 Toro Road, North York, ON, M3J 2A9"
687,BMW,3-Series,2012,"$15,500 ",Blue,328i,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,"165,000",https://www.carproof.com/order?ref=kijiji&vin=WBA3A5C56CF341691,"North York, ON M3H 2V6"
688,Acura,TL,2005,"$4,000 ",Off-White,na,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"189,120",na,"North York, ON M9M"
689,BMW,X3,2022,"$80,904 ",White,XDrive30e,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
690,BMW,3-Series,2022,"$56,729 ",Black,XDrive Sedan (5R79),New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
691,BMW,X5,2022,"$100,129 ",White,XDrive40i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
692,BMW,X1,2022,"$52,429 ",Black,XDrive28i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
693,BMW,3-Series,2022,"$56,829 ",White,XDrive Sedan (5R79),New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
694,BMW,3-Series,2022,"$63,264 ",Black,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
695,Other,Other,2021,"$26,735 ",Other,na,New,Other,Other,na,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
696,BMW,3-Series,2022,"$76,179 ",Blue,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
697,BMW,5-Series,2022,"$75,163 ",Grey,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
698,BMW,3-Series,2022,"$59,969 ",White,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
699,BMW,X3,2022,"$64,154 ",White,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
700,BMW,3-Series,2022,"$74,779 ",White,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
701,BMW,X3,2022,"$65,449 ",Blue,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
702,BMW,5-Series,2022,"$78,664 ",Black,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
703,BMW,X5,2022,"$93,894 ",White,XDrive40i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
704,BMW,3-Series,2022,"$62,619 ",Black,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
705,BMW,X3,2022,"$64,554 ",White,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
706,BMW,X6,2022,"$97,229 ",Black,XDrive40i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
707,BMW,X3,2022,"$67,134 ",White,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
708,Other,Other,2021,"$27,997 ",Other,na,New,Other,Other,na,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
709,BMW,X7,2022,"$128,594 ",Blue,XDrive 40i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
710,BMW,3-Series,2022,"$56,729 ",White,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
711,BMW,3-Series,2022,"$55,254 ",White,XDrive Sedan (5R79),New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
712,BMW,X3,2022,"$64,804 ",White,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
713,BMW,X3,2022,"$66,449 ",Black,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
714,BMW,3-Series,2022,"$61,174 ",Grey,XDrive Sedan (5R79),New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
715,BMW,X7,2022,"$132,394 ",Black,XDrive 40i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
716,BMW,5-Series,2022,"$73,194 ",Black,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
717,BMW,3-Series,2022,"$62,874 ",Black,XDrive Sedan (5R79),New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
718,BMW,X1,2022,"$53,479 ",Grey,XDrive28i M Sport Edition,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
719,BMW,3-Series,2022,"$61,829 ",White,XDrive Sedan (5R79),New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
720,BMW,X1,2022,"$51,949 ",White,XDrive28i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
721,na,na,na,na,na,na,na,na,na,na,na,na,na,na
722,na,na,na,na,na,na,na,na,na,na,na,na,na,na
723,na,na,na,na,na,na,na,na,na,na,na,na,na,na
724,na,na,na,na,na,na,na,na,na,na,na,na,na,na
