,brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
557,Mercedes-Benz,C-Class,2013,"$17,995 ",Grey,"C300 4MATIC Only 070,070KM Clean Car!",Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"70,070",https://www.carproof.com/order?ref=kijiji&vin=WDDGF8AB8DA791301,"2583 EGLINTON AVENUE EAST, Scarborough, ON, M1K 2R8"
558,Infiniti,G37x,2013,"$16,995 ",Grey,"AWD Only 083,025KM Navigation - No Accident!",Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"83,025",https://www.carproof.com/order?ref=kijiji&vin=JN1CV6AR3DM353977,"2583 EGLINTON AVENUE EAST, Scarborough, ON, M1K 2R8"
559,Dodge,Challenger,2012,"$21,995 ",Red,SXT Plus,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Gasoline,"116,023",https://www.carproof.com/order?ref=kijiji&vin=2C3CDYAGXCH121358,"2583 EGLINTON AVENUE EAST, Scarborough, ON, M1K 2R8"
560,Mazda,3,2015,"$8,995 ",Black,6MT Clean Car!,Used,Sedan,Front-wheel drive (FWD),Manual,Gasoline,"156,722",https://www.carproof.com/order?ref=kijiji&vin=3MZBM1U76FM163085,"2583 EGLINTON AVENUE EAST, Scarborough, ON, M1K 2R8"
561,Lexus,IS,2016,"$40,000 ",Grey,350 F sport,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"71,000",na,"North York, ON M4A 1L1, Canada"
562,Honda,CR-V,2014,na,Other,2WD 5dr EX back up camera,Used,"SUV, Crossover",Other,na,Gasoline,N/A,https://www.carproof.com/order?ref=kijiji&vin=2HKRM3H51EH004260,"170 Ellesmere Rd, Toronto, ON, M1R 4C8"
563,Ford,Other,2020,"$44,995 ",Orange,Low Roof Long Box,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"29,151",https://www.carproof.com/order?ref=kijiji&vin=1FTYE1Y80LKA36820,"71 City View Drive, Etobicoke, ON"
564,Honda,Civic,2018,"$24,490 ",Red,Sport,Used,Hatchback,Front-wheel drive (FWD),Manual,Other,"52,615",na,"12 Goldthorne, Etobicoke, ON, M8Z5S8"
565,BMW,X1,2017,"$12,700 ",White,xDrive28i,Salvage,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"60,322",https://www.carproof.com/order?ref=kijiji&vin=WBXHT3C38H5F75498,"11859 Hurontario Street, Brampton, ON"
566,Audi,A4,2013,"$6,900 ",na,na,Used,Sedan,na,Automatic,na,"137,049",na,"Toronto, ON M1P4M4"
567,Ford,F-150,2008,"$10,999 ",Beige,4X4  /  SUPER CREW /  1 OWNER  /  4.6L TRITON V8,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"235,000",https://www.carproof.com/order?ref=kijiji&vin=1FTRW14W38FC34264,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
568,Land Rover,LR3,2006,"$6,300 ",Black,SE,Used,"Minivan, Van",4 x 4,Automatic,Gasoline,"192,942",na,"Scarborough, ON M1M"
569,Honda,Other,2010,"$8,495 ",Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"172,000",https://www.carproof.com/order?ref=kijiji&vin=1HGCP2F35AA806080,"917 Queen Street East, Toronto, ON, M4M 1J6"
570,Honda,Civic,2012,"$9,800 ",Black,Si,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,na,260,na,"Markham, ON L3R"
571,Land Rover,Range Rover Evoque,2015,"$28,585 ",White,NAVI | PANO | REAR CAM | FINANCE,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"99,892",https://www.carproof.com/order?ref=kijiji&vin=SALVP2BG7FH007909,"2430 Finch Ave West,, North York, ON, M9M 2E1"
572,Nissan,Pathfinder,2014,"$12,000 ",Grey,Sl,Used,"SUV, Crossover",na,Automatic,na,"350,000",na,"Toronto, ON M4B1A5"
573,Dodge,Avenger,2014,"$7,950 ",Black,SXT,Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"170,000",https://www.carproof.com/order?ref=kijiji&vin=1C3CDZCB9EN162730,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
574,Toyota,Other,2022,"$37,907 ",Other,Premium,New,Sedan,Rear-wheel drive (RWD),Automatic,Other,na,na,"5060 Sheppard Avenue East, Scarborough, ON, M1S 4N3"
575,Hyundai,Tucson,2019,"$25,800 ",Black,"Essential, CAM, BLUETOOTH,",Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Other,"44,971",https://www.carproof.com/order?ref=kijiji&vin=KM8J23A44KU960821,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
576,Ford,Bronco,2021,"$42,269 ",Other,Outer Banks,Used,"SUV, Crossover",Other,Automatic,Other,"7,000",https://www.carproof.com/order?ref=kijiji&vin=3FMCR9C62MRB29656,"940 Kingston Road, Pickering, ON, L1V 1B3"
577,Ford,F-150,2017,"$38,888 ",Grey,XLT,Used,Other,Other,Automatic,Other,"96,441",https://www.carproof.com/order?ref=kijiji&vin=1FTEW1EP7HKE31239,"940 Kingston Road, Pickering, ON, L1V 1B3"
578,Mercedes-Benz,C-Class,2015,"$25,995 ",Black,"C300 4MATIC 095,388KM - Navigation / Camera / Pano Roof!",Used,Sedan,All-wheel drive (AWD),Automatic,Other,"95,388",https://www.carproof.com/order?ref=kijiji&vin=55SWF4KB4FU047460,"2583 EGLINTON AVENUE EAST, Scarborough, ON, M1K 2R8"
579,Subaru,Outback,2013,"$12,995 ",Blue,5dr Wgn CVT 2.5i Touring AWD No Accident!,Used,Wagon,All-wheel drive (AWD),Automatic,Gasoline,"146,082",https://www.carproof.com/order?ref=kijiji&vin=4S4BRHBC7D3287552,"2583 EGLINTON AVENUE EAST, Scarborough, ON, M1K 2R8"
580,Land Rover,Range Rover Evoque,2013,"$22,995 ",Black,Pure Plus Pano-Roof - Camera Clean Truck!,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"123,759",https://www.carproof.com/order?ref=kijiji&vin=SALVP2BG3DH747549,"2583 EGLINTON AVENUE EAST, Scarborough, ON, M1K 2R8"
581,Lexus,RX,2012,"$19,995 ",White,AWD Ultra Premium Navigation NO ACCIDENT!,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"150,750",https://www.carproof.com/order?ref=kijiji&vin=JTJBK1BA8C2442898,"2583 EGLINTON AVENUE EAST, Scarborough, ON, M1K 2R8"
582,Infiniti,G37x,2013,"$21,995 ",Grey,"AWD ONLY 073,700KM  No Accident!",Used,Coupe (2 door),All-wheel drive (AWD),Automatic,Gasoline,"73,700",https://www.carproof.com/order?ref=kijiji&vin=JN1CV6EL9DM981614,"2583 EGLINTON AVENUE EAST, Scarborough, ON, M1K 2R8"
583,Mercedes-Benz,C-Class,2013,"$17,995 ",Grey,"C300 4MATIC Only 070,070KM Clean Car!",Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"70,070",https://www.carproof.com/order?ref=kijiji&vin=WDDGF8AB8DA791301,"2583 EGLINTON AVENUE EAST, Scarborough, ON, M1K 2R8"
584,Infiniti,G37x,2013,"$16,995 ",Grey,"AWD Only 083,025KM Navigation - No Accident!",Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"83,025",https://www.carproof.com/order?ref=kijiji&vin=JN1CV6AR3DM353977,"2583 EGLINTON AVENUE EAST, Scarborough, ON, M1K 2R8"
585,Dodge,Challenger,2012,"$21,995 ",Red,SXT Plus,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Gasoline,"116,023",https://www.carproof.com/order?ref=kijiji&vin=2C3CDYAGXCH121358,"2583 EGLINTON AVENUE EAST, Scarborough, ON, M1K 2R8"
586,Mazda,3,2015,"$8,995 ",Black,6MT Clean Car!,Used,Sedan,Front-wheel drive (FWD),Manual,Gasoline,"156,722",https://www.carproof.com/order?ref=kijiji&vin=3MZBM1U76FM163085,"2583 EGLINTON AVENUE EAST, Scarborough, ON, M1K 2R8"
587,na,na,na,na,na,na,na,na,na,na,na,na,na,na
588,na,na,na,na,na,na,na,na,na,na,na,na,na,na
589,na,na,na,na,na,na,na,na,na,na,na,na,na,na
590,na,na,na,na,na,na,na,na,na,na,na,na,na,na
591,na,na,na,na,na,na,na,na,na,na,na,na,na,na
592,na,na,na,na,na,na,na,na,na,na,na,na,na,na
593,na,na,na,na,na,na,na,na,na,na,na,na,na,na
594,na,na,na,na,na,na,na,na,na,na,na,na,na,na
595,na,na,na,na,na,na,na,na,na,na,na,na,na,na
596,na,na,na,na,na,na,na,na,na,na,na,na,na,na
597,na,na,na,na,na,na,na,na,na,na,na,na,na,na
